2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\6\30256b3c63a3001018d8f22f02702cad
2025-10-08 12:26:37.772 [main] INFO  fichero.Ejercicio4 - 30256b3c63a3001018d8f22f02702cad
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\64\90ccfceb5ba3001018d8f22f02702cad
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - 90ccfceb5ba3001018d8f22f02702cad
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\66\6082fe5aba9e0010183de27014404ec2
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - 6082fe5aba9e0010183de27014404ec2
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\67\40461369b79e0010183de27014404ec2
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - 40461369b79e0010183de27014404ec2
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\69\70d2be67ba9e0010183de27014404ec2
2025-10-08 12:26:37.773 [main] INFO  fichero.Ejercicio4 - 70d2be67ba9e0010183de27014404ec2
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\69\d07987452fa400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - d07987452fa400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\73\30ac21e62fa400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - 30ac21e62fa400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\75\c0915a83b79e0010183de27014404ec2
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - c0915a83b79e0010183de27014404ec2
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\78\2035bc7c30a400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - 2035bc7c30a400101388dd7783786a6a
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\82\40f1e85ec3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.774 [main] INFO  fichero.Ejercicio4 - 40f1e85ec3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\8e\500a0e65ba9e0010183de27014404ec2
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - 500a0e65ba9e0010183de27014404ec2
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\8e\b0189a1763a3001018d8f22f02702cad
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - b0189a1763a3001018d8f22f02702cad
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\9e\b08ac4acc2a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.776 [main] INFO  fichero.Ejercicio4 - b08ac4acc2a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\a0\309ab298c2a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - 309ab298c2a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\a2\d0b355bc5ba3001018d8f22f02702cad
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - d0b355bc5ba3001018d8f22f02702cad
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\ab\c052b9f962a3001018d8f22f02702cad
2025-10-08 12:26:37.777 [main] INFO  fichero.Ejercicio4 - c052b9f962a3001018d8f22f02702cad
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\b2\b0347b7fb79e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - b0347b7fb79e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\b2\c07e32f3b49e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - c07e32f3b49e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\b8\40cf04aab09e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - 40cf04aab09e0010183de27014404ec2
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\bf\60f539a5c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - 60f539a5c1a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.778 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\c0\0017918ac3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - 0017918ac3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\c1\b07f6973ad9e0010183de27014404ec2
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - b07f6973ad9e0010183de27014404ec2
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\c2\4079f28862a3001018d8f22f02702cad
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - 4079f28862a3001018d8f22f02702cad
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\c2\e099ca18b79e0010183de27014404ec2
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - e099ca18b79e0010183de27014404ec2
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\ce\b0ba484f2fa400101388dd7783786a6a
2025-10-08 12:26:37.779 [main] INFO  fichero.Ejercicio4 - b0ba484f2fa400101388dd7783786a6a
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\e1\20e33baba7a300101e1fa4a96edd07a8
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - 20e33baba7a300101e1fa4a96edd07a8
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\e3\a08f8041c3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - a08f8041c3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\e4\4006ef54b79e0010183de27014404ec2
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - 4006ef54b79e0010183de27014404ec2
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\e9\7011534531a400101388dd7783786a6a
2025-10-08 12:26:37.780 [main] INFO  fichero.Ejercicio4 - 7011534531a400101388dd7783786a6a
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\ea\d07b200cb59e0010183de27014404ec2
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - d07b200cb59e0010183de27014404ec2
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\f1\e000c825c3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - e000c825c3a3001019dfc9f15e09b4ea
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\f3\80e381e25ba3001018d8f22f02702cad
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - 80e381e25ba3001018d8f22f02702cad
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\f8\003304aab09e0010183de27014404ec2
2025-10-08 12:26:37.781 [main] INFO  fichero.Ejercicio4 - 003304aab09e0010183de27014404ec2
2025-10-08 12:26:37.782 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.history\ff\d0a589ea61a3001018d8f22f02702cad
2025-10-08 12:26:37.782 [main] INFO  fichero.Ejercicio4 - d0a589ea61a3001018d8f22f02702cad
2025-10-08 12:26:37.782 [main] INFO  fichero.Ejercicio4 - C:\Users\ManuelParrado\Desktop\SEGUNDO_DAM\ACCESO A DATOS\.metadata\.plugins\org.eclipse.core.resources\.projects\.org.eclipse.egit.core.cmp\.location
2025-10-08 12:26:37.782 [main] INFO  fichero.Ejercicio4 - .location
